length,HUVEC,NHEK,K562,GM12878
0-100,0.183,0,0.1532,0.1684
100-200,0.204,0,0.2758,0.2176
200-300,0.1274,0.4762,0.1804,0.1612
300-400,0.0706,0,0.1092,0.0966
400-500,0.0586,0.2398,0.0706,0.0768
500-600,0.0388,0,0.0464,0.047
600-700,0.0384,0.1218,0.0364,0.0434
700-800,0.0282,0,0.025,0.027
800-900,0.0304,0.0646,0.0218,0.0278
900-1000,0.0238,0,0.015,0.02
1000-1100,0.026,0.0368,0.0134,0.0176
1100-1200,0.0194,0,0.0096,0.0132
1200-1300,0.0212,0.0216,0.0084,0.0126
1300-1400,0.0158,0,0.0064,0.0094
1400-1500,0.0152,0.0134,0.0052,0.0088
1500-1600,0.011,0,0.004,0.0072
1600-1700,0.0124,0.0084,0.0032,0.007
1700-1800,0.0084,0,0.0026,0.0046
1800-1900,0.0088,0.0052,0.0024,0.0046
1900-2000,0.0068,0,0.0018,0.0038
2000-2100,0.0064,0.0038,0.0012,0.0034
2100-2200,0.0052,0,0.0012,0.0028
2200-2300,0.005,0.0024,0.0014,0.0026
2300-2400,0.0038,0,0.0008,0.0018
2400-2500,0.0036,0.0018,0.0006,0.0022
2500-2600,0.0032,0,0.0008,0.0018
2600-2700,0.0032,0.0012,0.0004,0.0014
2700-2800,0.0018,0,0.0004,0.0014
2800-2900,0.002,0.001,0.0004,0.001
2900-3000,0.0016,0,0.0002,0.0008
3000-3100,0.0016,0.0006,0.0004,0.0008
3100-3200,0.0014,0,0.0002,0.0006
3200-3300,0.0014,0.0004,0.0002,0.0006
3300-3400,0.001,0,0.0002,0.0006
3400-3500,0.0012,0.0004,0.0002,0.0008
3500-3600,0.0008,0,0.0002,0.0004
3600-3700,0.001,0.0002,0.0002,0.0002
3700-3800,0.0006,0,0,0.0002
3800-3900,0.0008,0.0002,0.0002,0.0004
3900-4000,0.0004,0,0,0.0002
4000-4100,0.0006,0.0002,0,0.0002
4100-4200,0.0004,0,0,0.0002
4200-4300,0.0006,0,0,0.0002
4300-4400,0.0004,0,0,0.0002
4400-4500,0.0004,0,0,0
4500-4600,0.0004,0,0,0.0002
4600-4700,0.0002,0,0,0.0002
4700-4800,0.0002,0,0,0
4800-4900,0.0002,0,0,0.0002
4900-5000,0.0002,0,0,0
5000-5100,0.0002,0,0,0
5100-5200,0.0002,0,0,0
5200-5300,0.0002,0,0,0
5300-5400,0.0002,0,0,0
5400-5500,0.0002,0,0,0
5500-5600,0.0002,0,0,0
5600-5700,0.0002,0,0,0
5700-5800,0.0002,0,0,0
5800-5900,0.0002,0,0,0
5900-6000,0,0,0,0
6000-6100,0,0,0,0
6100-6200,0.0002,0,0,0
6200-6300,0,0,0,0
6300-6400,0,0,0,0
6400-6500,0.0002,0,0,0
